lower angle,upper angle,systemdisplacement,horizontal displacement acceleration,ticks since start (50 ticks per second)
,,,,
1.570796327,0,7.50E-16,0,41
,,,,
1.570796327,0,7.50E-16,0,42
,,,,
1.570796327,0,7.50E-16,0,43
,,,,
1.570796327,0,7.50E-16,0,44
,,,,
1.570796327,0,7.50E-16,0,45
,,,,
1.570796327,0,7.50E-16,0,46
,,,,
1.570796327,0,7.50E-16,0,47
,,,,
1.570796327,0,7.50E-16,0,48
,,,,
1.570796327,0,7.50E-16,0,49
,,,,
1.570796327,0,7.50E-16,0,50
,,,,
1.570796327,0,7.50E-16,0,51
,,,,
1.570796327,0,7.50E-16,0,52
,,,,
1.570796327,0,7.50E-16,0,53
,,,,
1.570796327,0,7.50E-16,0,54
,,,,
1.570796327,0,7.50E-16,0,55
,,,,
1.570796327,0,7.50E-16,0,56
,,,,
1.570796327,0,7.50E-16,0,57
,,,,
1.570796327,0,7.50E-16,0,58
,,,,
1.570796327,0,7.50E-16,0,59
,,,,
1.570796327,0,7.50E-16,0,60
,,,,
1.570796327,0,7.50E-16,0,61
,,,,
1.570796327,0,7.50E-16,0,62
,,,,
1.570796327,0,7.50E-16,0,63
,,,,
1.570796327,0,7.50E-16,0,64
,,,,
1.570796327,0,7.50E-16,0,65
,,,,
1.570796327,0,7.50E-16,0,66
,,,,
1.570796327,0,7.50E-16,0,67
,,,,
1.570796327,0,7.50E-16,0,68
,,,,
1.570796327,0,7.50E-16,0,69
,,,,
1.570796327,0,7.50E-16,0,70
,,,,
1.570796327,0,7.50E-16,0,71
,,,,
1.570796327,0,7.50E-16,0,72
,,,,
1.570796327,0,7.50E-16,0,73
,,,,
1.570796327,0,7.50E-16,0,74
,,,,
1.570796327,0,7.50E-16,0,75
,,,,
1.570796327,0,7.50E-16,0,76
,,,,
1.570796327,0,7.50E-16,0,77
,,,,
1.570796327,0,7.50E-16,0,78
,,,,
1.570796327,0,7.50E-16,0,79
,,,,
1.570796327,0,7.50E-16,0,80
,,,,
1.570796327,0,7.50E-16,0,81
,,,,
1.570796327,0,7.50E-16,0,82
,,,,
1.570796327,0,7.50E-16,0,83
,,,,
1.570796327,0,7.50E-16,0,84
,,,,
1.570796327,0,7.50E-16,0,85
,,,,
1.570796327,0,7.50E-16,0,86
,,,,
1.570796327,0,7.50E-16,0,87
,,,,
1.570796327,0,7.50E-16,0,88
,,,,
1.570796327,0,7.50E-16,0,89
,,,,
1.570796327,0,7.50E-16,0,90
,,,,
1.570796327,0,7.50E-16,0,91
,,,,
1.570796327,0,7.50E-16,0,92
,,,,
1.570796327,0,7.50E-16,0,93
,,,,
1.570796327,0,7.50E-16,0,94
,,,,
1.570796327,0,7.50E-16,0,95
,,,,
1.570796327,0,7.50E-16,0,96
,,,,
1.570796327,0,7.50E-16,0,97
,,,,
1.570796327,0,7.50E-16,0,98
,,,,
1.570796327,0,7.50E-16,0,99
,,,,
1.570796327,0,7.50E-16,0,100
,,,,
1.570796327,0,7.50E-16,0,101
,,,,
1.570796327,0,7.50E-16,0,102
,,,,
1.570796327,0,7.50E-16,0,103
,,,,
1.570796327,0,7.50E-16,0,104
,,,,
1.570796327,0,7.50E-16,0,105
,,,,
1.570796327,0,7.50E-16,0,106
,,,,
1.570796327,0,7.50E-16,0,107
,,,,
1.570796327,0,7.50E-16,0,108
,,,,
1.570796327,0,7.50E-16,0,109
,,,,
1.570796327,0,7.50E-16,0,110
,,,,
1.570796327,0,7.50E-16,0,111
,,,,
1.570796327,0,7.50E-16,0,112
,,,,
1.570796327,0,7.50E-16,0,113
,,,,
1.570796327,0,7.50E-16,0,114
,,,,
1.570796327,0,7.50E-16,0,115
,,,,
1.570796327,0,7.50E-16,0,116
