ticks (50 tps),lower angle,upper angle,holding angle,system x,acceleration,lower acceleration (shoulder),upper acceleration (elbow),,,,2645,0.640433625,2.596652269,0,0.386776147,5.19E-05,-0.032313652,-0.057495229
2646,0.640104548,2.596860647,0,0.388091926,2.31E-05,-0.016455058,-0.01041083,,,,,,,,,,,
2647,0.640093939,2.596123934,0,0.387764122,-5.76E-06,-0.000529353,0.036837131,,,,,,,,,,,
2648,0.640401796,2.594442844,0,0.385800482,-3.45E-05,0.015392266,0.084044904,,,,,,,,,,,
2649,0.641027109,2.591821909,0,0.382218761,-6.28E-05,0.031263992,0.131048754,,,,,,,,,,,
2650,0.641967789,2.588268757,0,0.37704642,-9.07E-05,0.047034331,0.177659303,,,,,,,,,,,
2651,0.643220798,2.583795071,0,0.370320394,-0.00011793,0.062648706,0.223683387,,,,,,,,,,,
2652,0.644782082,2.578415394,0,0.362086406,-0.000144316,0.078065887,0.268977016,,,,,,,,,,,
2653,0.646646575,2.572148561,0,0.352399177,-0.000169723,0.093223937,0.313335776,,,,,,,,,,,
2654,0.648808257,2.565016508,0,0.341321145,-0.000194021,0.108084716,0.356610864,,,,,,,,,,,
2655,0.651260094,2.557043552,0,0.328921879,-0.000217083,0.122593373,0.39864856,,,,,,,,,,,
2656,0.653994338,2.548257828,0,0.315276875,-0.000238808,0.13671048,0.439286649,,,,,,,,,,,
2657,0.657002107,2.53869009,0,0.300468034,-0.000259084,0.150385901,0.478376389,,,,,,,,,,,
2658,0.660273627,2.528374434,0,0.284582287,-0.000277823,0.16357854,0.515796304,,,,,,,,,,,
2659,0.663798587,2.517346382,0,0.267708898,-0.000294987,0.176245317,0.551402748,,,,,,,,,,,
2660,0.667565481,2.505644798,0,0.249941933,-0.000310499,0.188346714,0.585083246,,,,,,,,,,,
2661,0.67156239,2.493310213,0,0.231375983,-0.000324343,0.199844345,0.61672771,,,,,,,,,,,
2662,0.675776378,2.480385542,0,0.212108096,-0.000336481,0.210698739,0.646234691,,,,,,,,,,,
2663,0.680193977,2.466915369,0,0.19223502,-0.000346927,0.22088103,0.673517644,,,,,,,,,,,
2664,0.684800939,2.452945709,0,0.171853635,-0.000355676,0.230348021,0.698482692,,,,,,,,,,,
2665,0.689582364,2.438524723,0,0.151059898,-0.000362744,0.239069775,0.721056521,,,,,,,,,,,
2666,0.694522695,2.423700809,0,0.129948408,-0.00036815,0.247016981,0.74119091,,,,,,,,,,,
2667,0.699605779,2.40852499,0,0.108611577,-0.00037195,0.254152626,0.758799672,,,,,,,,,,,
2668,0.704814927,2.39304781,0,0.087139309,-0.000374177,0.260461986,0.773866594,,,,,,,,,,,
2669,0.710133032,2.377321005,0,0.065618051,-0.000374893,0.265906572,0.786342859,,,,,,,,,,,
2670,0.715542392,2.361397266,0,0.044131404,-0.000374153,0.27046743,0.796185255,,,,,,,,,,,
2671,0.721024827,2.345329762,0,0.022759557,-0.000372018,0.274119854,0.803383768,,,,,,,,,,,
