lower angle,upper angle,holding angle,system x,acceleration,
1.570796327,0,0,7.50E-16,0,165
1.570796327,0,0,7.50E-16,0,166
1.570796327,0,0,7.50E-16,0,167
1.570796327,0,0,7.50E-16,0,168
1.570796327,0,0,7.50E-16,0,169
1.570796327,0,0,7.50E-16,0,170
1.570796327,0,0,7.50E-16,0,171
1.570796327,0,0,7.50E-16,0,172
1.570796327,0,0,7.50E-16,0,173
1.570796327,0,0,7.50E-16,0,174
1.570796327,0,0,7.50E-16,0,175
1.570796327,0,0,7.50E-16,0,176
1.570796327,0,0,7.50E-16,0,177
1.570796327,0,0,7.50E-16,0,178
1.570796327,0,0,7.50E-16,0,179
1.570796327,0,0,7.50E-16,0,180
1.570796327,0,0,7.50E-16,0,181
1.570796327,0,0,7.50E-16,0,182
1.570796327,0,0,7.50E-16,0,183
1.570796327,0,0,7.50E-16,0,184
1.570796327,0,0,7.50E-16,0,185
1.570796327,0,0,7.50E-16,0,186
1.570796327,0,0,7.50E-16,0,187
1.570796327,0,0,7.50E-16,0,188
1.570796327,0,0,7.50E-16,0,189
1.570796327,0,0,7.50E-16,0,190
1.570796327,0,0,7.50E-16,0,191
1.570796327,0,0,7.50E-16,0,192
1.570796327,0,0,7.50E-16,0,193
1.570796327,0,0,7.50E-16,0,194
1.570796327,0,0,7.50E-16,0,195
1.570796327,0,0,7.50E-16,0,196
1.570796327,0,0,7.50E-16,0,197
1.570796327,0,0,7.50E-16,0,198
1.570796327,0,0,7.50E-16,0,199
1.570796327,0,0,7.50E-16,0,200
1.570796327,0,0,7.50E-16,0,201
1.570796327,0,0,7.50E-16,0,202
1.570796327,0,0,7.50E-16,0,203
1.570796327,0,0,7.50E-16,0,204
1.570796327,0,0,7.50E-16,0,205
1.570796327,0,0,7.50E-16,0,206
1.570796327,0,0,7.50E-16,0,207
1.570796327,0,0,7.50E-16,0,208
1.570796327,0,0,7.50E-16,0,209
1.570796327,0,0.01,7.50E-16,0,210
1.57072395,0.00014133,0.01,0.000144641,7.50E-06,211
1.570579638,0.000423114,0.01,0.000433093,1.49E-05,212
1.570364151,0.000843747,0.01,0.000864478,2.23E-05,213
1.57007862,0.001400839,0.01,0.001437499,2.96E-05,214
1.569724545,0.002091218,0.01,0.00215043,3.68E-05,215
1.569303789,0.002910945,0.01,0.003001128,4.38E-05,216
1.568818575,0.00385532,0.01,0.003987027,5.08E-05,217
1.568271479,0.004918898,0.01,0.005105165,5.75E-05,218
1.567665422,0.006095505,0,0.006352168,6.41E-05,219
1.567076039,0.007236924,0,0.007579651,6.30E-05,220
1.566506464,0.00833647,0,0.00878432,6.18E-05,221
1.565959834,0.009387507,0,0.009962574,6.03E-05,222
1.56543922,0.010383548,0,0.01111086,5.87E-05,223
1.564947613,0.011318271,0,0.012225729,5.70E-05,224
1.564487915,0.012185539,0,0.013303848,5.50E-05,225
1.564062933,0.012979418,0,0.014341986,5.29E-05,226
1.563675369,0.013694197,0,0.015337024,5.07E-05,227
1.563327814,0.014324399,0,0.01628599,4.83E-05,228
1.563022735,0.014864804,0,0.01718604,4.57E-05,229
1.562762476,0.01531046,0.01,0.018034495,4.31E-05,230
1.562476868,0.015798027,0.01,0.018973426,4.76E-05,231
1.562168425,0.016322251,0.01,0.019999626,5.20E-05,232
1.561839825,0.016877472,0.01,0.021110018,5.62E-05,233
1.561493962,0.017457567,0.01,0.022301275,6.02E-05,234
1.561133945,0.018055968,0.01,0.023569805,6.41E-05,235
1.560763081,0.018665679,0.01,0.024911836,6.77E-05,236
1.560384868,0.019279303,0.01,0.026323326,7.11E-05,237
1.560002986,0.019889062,0.01,0.027800034,7.43E-05,238
1.559621287,0.020486813,0.01,0.029337552,7.73E-05,239
1.559243777,0.021064086,0,0.03093124,8.01E-05,240
1.55894698,0.021470785,0,0.032431712,7.53E-05,241
1.558734733,0.021698732,0,0.033834921,7.03E-05,242
1.558610688,0.021740206,0,0.035136648,6.52E-05,243
1.558578231,0.021588055,0,0.036332969,5.98E-05,244
1.558640475,0.021235695,0,0.037420351,5.43E-05,245
1.558800247,0.020677149,0,0.038395507,4.87E-05,246
1.559060085,0.019907052,0,0.039255536,4.29E-05,247
1.559422226,0.018920677,0,0.039997844,3.70E-05,248
1.5598886,0.017713942,0,0.040620228,3.10E-05,249
1.560460825,0.016283428,0.01,0.0411208,2.49E-05,250
1.561067828,0.014767703,0.01,0.041642709,2.59E-05,251
1.561711036,0.013163818,0.01,0.042183955,2.68E-05,252
1.562391858,0.011468793,0.01,0.042742915,2.77E-05,253
1.563111748,0.009679548,0.01,0.043317947,2.85E-05,254
1.563872206,0.007792913,0.01,0.043907303,2.91E-05,255
1.564674765,0.005805646,0.01,0.04450922,2.97E-05,256
1.565520995,0.003714429,0.01,0.04512189,3.02E-05,257
1.566412488,0.001515891,0,0.045743479,3.06E-05,258
1.567423245,-0.000935078,0,0.046229301,2.39E-05,259
1.568554455,-0.003640175,0,0.04657365,1.69E-05,260
1.569807008,-0.00660181,0,0.046778281,1.01E-05,261
1.571181611,-0.009821415,0,0.046841959,3.13E-06,262
1.572677926,-0.013298988,0,0.046768801,-3.59E-06,263
1.574296312,-0.017033577,0,0.046549347,-1.08E-05,264
1.576035813,-0.021025181,0,0.046195213,-1.73E-05,265
1.577895478,-0.025270462,0,0.045700486,-2.42E-05,266
1.579873876,-0.029767036,0,0.04507009,-3.08E-05,267
1.581969575,-0.034512043,0,0.044306438,-3.73E-05,268
1.584180669,-0.039500237,0,0.043405262,-4.39E-05,269
1.586504296,-0.044726849,0,0.042376467,-5.01E-05,270
1.588938073,-0.050186634,0,0.041221608,-5.62E-05,271
1.591478662,-0.055871964,0,0.039941401,-6.22E-05,272
1.594123201,-0.061776638,0,0.03853822,-6.81E-05,273
1.596866922,-0.067892551,0,0.03702778,-7.32E-05,274
1.599706487,-0.074210644,0,0.035403274,-7.87E-05,275
1.602637605,-0.080722809,0,0.033674566,-8.36E-05,276
1.605655507,-0.087418079,0,0.031842348,-8.86E-05,277
1.608754949,-0.094286919,0,0.02992065,-9.28E-05,278
1.611931638,-0.101318359,0,0.027904325,-9.73E-05,279
1.615179376,-0.108500481,0,0.025806569,-0.00010109,280
1.618492917,-0.115822792,0,0.023636405,-0.000104472,281
1.62186654,-0.123271942,0,0.021393703,-0.000107854,282
1.625294046,-0.130835533,0,0.019089165,-0.000110715,283
1.628769235,-0.138501167,0,0.016733493,-0.000113057,284
1.632286386,-0.146255016,0,0.014324085,-0.000115519,285
1.635838346,-0.154084206,0,0.011880817,-0.000117025,286
1.639419393,-0.161974907,0,0.009401108,-0.00011865,287
1.643022374,-0.169912815,0,0.00689737,-0.000119678,288
1.646641092,-0.177884579,0,0.00437537,-0.000120435,289
1.650269345,-0.185876369,0,0.001838399,-0.000121028,290
1.653899507,-0.193873405,-0.019387341,-0.000697763,-0.000120869,291
1.657525376,-0.201862812,0,-0.003224813,-0.00012032,292
1.661278562,-0.21009922,0,-0.006019078,-0.000132914,293
1.665013627,-0.218297958,0,-0.008792599,-0.000131795,294
1.668722943,-0.226443291,0,-0.011534496,-0.000130163,295
1.672400312,-0.234521389,0,-0.014241352,-0.000128372,296
1.676038102,-0.242516994,0,-0.016899757,-0.000125949,297
1.67962964,-0.250415802,0,-0.019502923,-0.000123208,298
1.683169202,-0.258203983,0,-0.022053142,-0.000120582,299
1.68664916,-0.265868187,0,-0.024527024,-0.000116856,300
1.690064267,-0.273395061,0,-0.026930125,-0.000113398,301
1.693407849,-0.280771732,0,-0.029248123,-0.000109272,302
1.696674661,-0.287986279,0,-0.031479088,-0.000105064,303
1.699859456,-0.295027256,0,-0.03361859,-0.000100656,304
1.702956514,-0.301883221,0,-0.035656394,-9.58E-05,305
1.705960588,-0.308544159,0,-0.037580628,-9.03E-05,306
1.708868341,-0.31499958,0,-0.039404957,-8.56E-05,307
1.711674527,-0.321240902,0,-0.041110066,-7.99E-05,308
1.714374856,-0.327259064,0,-0.042690643,-7.40E-05,309
1.716966466,-0.333046913,0,-0.044148805,-6.82E-05,310
1.719445542,-0.338595867,0,-0.045482503,-6.23E-05,311
1.721809224,-0.343900681,0,-0.046683982,-5.61E-05,312
1.72405465,-0.348955154,0,-0.0477504,-4.97E-05,313
1.726179437,-0.353754044,0,-0.048679746,-4.33E-05,314
1.728181199,-0.35829258,0,-0.049467549,-3.67E-05,315
1.730058984,-0.362567902,0,-0.050116772,-3.02E-05,316
1.731811361,-0.366576672,0,-0.050627075,-2.37E-05,317
1.733436898,-0.370316982,0,-0.050990763,-1.69E-05,318
1.734935121,-0.373786926,0,-0.05121164,-1.02E-05,319
1.736305551,-0.376986027,0,-0.051286161,-3.45E-06,320
1.737548665,-0.379914284,0,-0.051219819,3.07E-06,321
1.738664941,-0.382572651,0,-0.051013218,9.55E-06,322
1.739654378,-0.384962559,0,-0.05065879,1.64E-05,323
1.740518407,-0.387085915,0,-0.050163741,2.28E-05,324
1.741258458,-0.38894558,0,-0.049530394,2.92E-05,325
1.741875962,-0.390545368,0,-0.0487562,3.56E-05,326
1.742373304,-0.391889572,0,-0.047847641,4.18E-05,327
1.742752866,-0.39298296,0,-0.046808771,4.77E-05,328
1.743016557,-0.393830776,0,-0.045635484,5.39E-05,329
1.743168191,-0.394440174,0,-0.044336842,5.96E-05,330
1.743211106,-0.394817352,0,-0.042921074,6.49E-05,331
1.743147687,-0.39496994,0,-0.041377638,7.07E-05,332
1.742983178,-0.394906044,0,-0.039727946,7.54E-05,333
1.742720441,-0.394634724,0,-0.037959888,8.08E-05,334
1.742364244,-0.394164562,0,-0.036086732,8.55E-05,335
1.741919355,-0.393505573,0,-0.034114431,8.99E-05,336
1.741391019,-0.39266777,0,-0.032054683,9.38E-05,337
1.740783052,-0.391662598,0,-0.029894679,9.83E-05,338
1.740102128,-0.390500546,0,-0.02766089,0.000101572,339
1.73935254,-0.389194012,0,-0.025341371,0.000105368,340
1.738540486,-0.387753963,0,-0.02295444,0.000108326,341
1.737672166,-0.386193752,0,-0.020506214,0.000111002,342
1.736752824,-0.384526253,0,-0.017993785,0.000113808,343
1.735789136,-0.382763863,0,-0.015433904,0.000115848,344
1.734787301,-0.380919933,0,-0.012832701,0.000117605,345
1.733753518,-0.37900877,0,-0.010191424,0.000119303,346
1.732694463,-0.377043724,0,-0.007521946,0.000120462,347
1.731616811,-0.375039101,0,-0.004831258,0.000121302,348
1.730527238,-0.373008728,0,-0.002128797,0.000121715,349
1.729431943,-0.370966911,0,0.000584188,0.000122077,350
1.728338079,-0.368927956,0,0.003294962,0.000121862,351
1.72725232,-0.366905689,0,0.005994083,0.000121223,352
1.726181344,-0.364915371,0,0.008679451,0.000120491,353
1.725131826,-0.362970352,0,0.011339177,0.000119227,354
1.72411044,-0.361084938,0,0.013966262,0.000117652,355
1.723123387,-0.359272957,0,0.01655701,0.000115921,356
1.722177819,-0.357548237,0,0.019096222,0.000113508,357
1.721279458,-0.355924606,0,0.021585948,0.00011119,358
1.72043498,-0.35441494,0,0.024011831,0.000108237,359
1.719650106,-0.353031635,0,0.026368564,0.000105057,360
1.718931035,-0.351788521,0,0.028652434,0.00010171,361
1.718283014,-0.350696564,0,0.030856523,9.81E-05,362
1.717712239,-0.349767685,0,0.032967299,9.38E-05,363
1.717223481,-0.349013805,0,0.034988486,8.98E-05,364
1.716822461,-0.348444939,0,0.036902479,8.49E-05,365
1.716512994,-0.348072052,0,0.038719588,8.05E-05,366
1.716300325,-0.347903728,0,0.040420584,7.53E-05,367
1.716188268,-0.347949505,0,0.042008394,7.03E-05,368
1.716181115,-0.348217964,0,0.043475274,6.48E-05,369
1.716282682,-0.348716736,0,0.04481431,5.91E-05,370
1.716495828,-0.349452972,0,0.046027633,5.35E-05,371
1.716823415,-0.350432396,0,0.047109999,4.77E-05,372
1.717268781,-0.351661205,0,0.048052843,4.15E-05,373
1.717833356,-0.353143692,0,0.048860791,3.55E-05,374
1.718519525,-0.354884624,0,0.049529391,2.94E-05,375
1.719328717,-0.356887341,0,0.050058324,2.32E-05,376
1.720262365,-0.359153748,0,0.050439903,1.67E-05,377
1.721320943,-0.361685753,0,0.050677919,1.04E-05,378
1.72250493,-0.36448431,0,0.050771245,4.09E-06,379
1.723814325,-0.367549896,0,0.050722031,-2.15E-06,380
1.725248651,-0.370881557,0,0.05053081,-8.36E-06,381
1.726807908,-0.374477863,0,0.050189911,-1.49E-05,382
1.72849019,-0.37833643,0,0.049709725,-2.10E-05,383
1.730294065,-0.382454872,0,0.049094876,-2.68E-05,384
1.732218103,-0.386828423,0,0.048337761,-3.30E-05,385
1.734260396,-0.391453266,0,0.047441392,-3.90E-05,386
1.736417607,-0.396323204,0,0.046413766,-4.47E-05,387
1.738687352,-0.401433468,0,0.045258717,-5.02E-05,388
1.741066293,-0.406776428,0,0.043976906,-5.56E-05,389
1.743551091,-0.412345409,0,0.042573864,-6.08E-05,390
1.746137933,-0.418131828,-0.041813183,0.041051106,-6.60E-05,391
1.748822526,-0.424127102,0,0.03941587,-7.08E-05,392
1.751882867,-0.430872917,0,0.037094928,-0.000100356,393
1.755029039,-0.437804222,0,0.034683999,-0.000104152,394
1.758256272,-0.444908142,0,0.032174211,-0.000108324,395
1.761557416,-0.452170849,0,0.029580404,-0.000111852,396
1.764925794,-0.459578514,0,0.026911731,-0.000114977,397
1.76835473,-0.467116356,0,0.024172543,-0.000117908,398
1.771837072,-0.474769592,0,0.02137292,-0.000120397,399
1.775365667,-0.482523441,0,0.018522972,-0.000122447,400
1.778933839,-0.490363121,0,0.015627172,-0.000124304,401
1.78253396,-0.498272419,0,0.012694174,-0.000125782,402
1.786158876,-0.506236553,0,0.00973422,-0.000126823,403
1.789801435,-0.514240265,0,0.006755196,-0.000127525,404
1.793454484,-0.522267818,0,0.003762649,-0.000127992,405
1.797110871,-0.530304432,0,0.000766972,-0.00012801,406
1.80076249,-0.538333416,0,-0.002219668,-0.000127508,407
1.804403619,-0.546341419,0,-0.005196529,-0.000126976,408
1.808026151,-0.554312229,0,-0.008148943,-0.000125819,409
1.811624364,-0.562231541,0,-0.011080788,-0.000124831,410
1.815190152,-0.570085526,0,-0.013965408,-0.000122707,411
1.818717794,-0.577858925,0,-0.0168113,-0.000120952,412
1.822201089,-0.585538864,0,-0.019609405,-0.000118815,413
1.825632886,-0.593111515,0,-0.022344156,-0.000116022,414
1.82900794,-0.600563526,0,-0.025019948,-0.000113418,415
1.832319574,-0.607882977,0,-0.027617269,-0.000109993,416
1.83556302,-0.615056992,0,-0.030143608,-0.000106895,417
1.838732557,-0.622074604,0,-0.032585814,-0.000103244,418
1.841822461,-0.628923416,0,-0.034937758,-9.93E-05,419
1.844828443,-0.635594368,0,-0.037193532,-9.52E-05,420
1.847745732,-0.642075539,0,-0.039355683,-9.12E-05,421
1.850569562,-0.648358345,0,-0.041410326,-8.66E-05,422
1.853296117,-0.654433727,0,-0.043356998,-8.19E-05,423
1.855921582,-0.660292625,0,-0.045195184,-7.73E-05,424
1.858441667,-0.66592741,0,-0.046911825,-7.21E-05,425
1.860853509,-0.671330452,0,-0.048510438,-6.71E-05,426
1.863154248,-0.676495075,0,-0.049989854,-6.20E-05,427
1.865340547,-0.681415558,0,-0.051338737,-5.65E-05,428
1.86741002,-0.686085701,0,-0.052559101,-5.11E-05,429
1.869360761,-0.690500736,0,-0.053651504,-4.57E-05,430
1.871190385,-0.694656372,0,-0.054608681,-4.00E-05,431
1.872897462,-0.698548794,0,-0.055432071,-3.44E-05,432
1.874480561,-0.70217514,0,-0.056118497,-2.86E-05,433
1.875938729,-0.705532551,0,-0.056670287,-2.30E-05,434
1.877271012,-0.708619118,0,-0.057085168,-1.73E-05,435
1.878476457,-0.711433887,0,-0.057356284,-1.13E-05,436
1.879555062,-0.713975906,0,-0.057487774,-5.47E-06,437
1.880507306,-0.716244698,0,-0.057486971,3.33E-08,438
1.881333188,-0.718241692,0,-0.057346553,5.83E-06,439
1.882032708,-0.719966888,0,-0.05706613,1.16E-05,440
1.882607297,-0.721422672,0,-0.056650277,1.72E-05,441
1.883057431,-0.722611427,0,-0.056092657,2.31E-05,442
1.883385495,-0.723535538,0,-0.055408851,2.83E-05,443
1.883592443,-0.724198341,0,-0.054593462,3.37E-05,444
1.883679704,-0.724604607,0,-0.05363972,3.94E-05,445
1.88365014,-0.724758625,0,-0.05255959,4.46E-05,446
1.883506135,-0.724665165,0,-0.051357302,4.95E-05,447
1.883250074,-0.724329948,0,-0.050032531,5.45E-05,448
1.882884339,-0.723759174,0,-0.048582686,5.96E-05,449
1.882412748,-0.722959518,0,-0.04701932,6.43E-05,450
1.881838636,-0.721939087,0,-0.045341661,6.89E-05,451
1.881165342,-0.720704079,0,-0.043558137,7.32E-05,452
1.88039668,-0.71926403,0,-0.041666607,7.75E-05,453
1.879536943,-0.717627048,0,-0.03967731,8.15E-05,454
1.878589467,-0.715802193,0,-0.037584954,8.56E-05,455
1.877559976,-0.713799477,0,-0.035407057,8.90E-05,456
1.876452283,-0.711628914,0,-0.033139235,9.26E-05,457
1.875271634,-0.709300518,0,-0.030793552,9.57E-05,458
1.874022321,-0.706825733,0,-0.02836421,9.91E-05,459
1.872710542,-0.70421505,0,-0.025871962,0.00010155,460
1.871341066,-0.701480865,0,-0.023311894,0.000104221,461
1.869919614,-0.698634624,0,-0.020694672,0.000106457,462
1.868451432,-0.695688248,0,-0.018023162,0.000108572,463
1.866943196,-0.692655087,0,-0.015309797,0.00011018,464
1.865399675,-0.689547062,0,-0.012551925,0.000111891,465
1.863828019,-0.686377525,0,-0.009767471,0.000112874,466
1.862233476,-0.683159828,0,-0.006952329,0.000114024,467
1.86062272,-0.679907322,0,-0.004118897,0.000114666,468
1.859001474,-0.676632881,0,-0.001270857,0.00011516,469
1.857376889,-0.673350811,0,0.001578524,0.000115117,470
1.855754689,-0.670074463,0,0.00442791,0.000115018,471
1.854141549,-0.666817188,0,0.007264942,0.000114423,472
1.852543668,-0.663593769,0,0.010089757,0.000113833,473
1.850967721,-0.66041708,0,0.012887695,0.000112653,474
1.849419908,-0.657300472,0,0.015651954,0.000111207,475
1.84790595,-0.654258251,0,0.018385936,0.000109898,476
1.846433,-0.651303768,0,0.021071796,0.000107872,477
1.84500678,-0.648449421,0,0.023703646,0.000105612,478
1.843633489,-0.645708561,0,0.026274726,0.000103086,479
1.842318849,-0.643094063,0,0.028781495,0.000100421,480
1.841068582,-0.640618324,0,0.031218089,9.75E-05,481
1.839888887,-0.638293743,0,0.033573092,9.42E-05,482
1.838784532,-0.63613081,0,0.035842401,9.07E-05,483
1.837761239,-0.634142399,0,0.038022479,8.70E-05,484
1.836823777,-0.632338047,0,0.040104544,8.31E-05,485
1.835977391,-0.630728722,0,0.042081251,7.88E-05,486
1.835226373,-0.629324436,0,0.043951687,7.45E-05,487
1.83457549,-0.628134251,0,0.045704687,6.98E-05,488
1.834028081,-0.627166748,0,0.047343412,6.52E-05,489
1.833588437,-0.626430511,0,0.048859879,6.02E-05,490
1.833260373,-0.625932693,-0.062593269,0.050244625,5.50E-05,491
1.833046273,-0.625680447,0,0.051504852,5.00E-05,492
1.833341436,-0.626443863,0,0.051806996,1.20E-05,493
1.8337539,-0.627458572,0,0.051973244,6.58E-06,494
1.834284143,-0.628727436,0,0.052011874,1.53E-06,495
1.834932641,-0.630249023,0,0.051910088,-4.02E-06,496
1.835698919,-0.632023335,0,0.051673202,-9.36E-06,497
1.836582021,-0.634048939,0,0.051305047,-1.45E-05,498
1.837581472,-0.636323929,0,0.050801535,-1.99E-05,499
1.838694886,-0.63884449,0,0.050171437,-2.48E-05,500
1.839921312,-0.641607761,0,0.049411504,-2.99E-05,501
1.84125884,-0.644609451,0,0.048522579,-3.50E-05,502
1.842705087,-0.647844315,0,0.047506374,-3.99E-05,503
1.844256715,-0.651307583,0,0.046377999,-4.43E-05,504
1.845911817,-0.654993057,0,0.045128931,-4.90E-05,505
1.847667054,-0.658893585,0,0.043762622,-5.36E-05,506
1.84951909,-0.663002014,0,0.042282518,-5.80E-05,507
1.851463632,-0.667311192,0,0.040703117,-6.18E-05,508
1.853497342,-0.671812534,0,0.039020889,-6.58E-05,509
1.85561593,-0.676496983,0,0.037241055,-6.95E-05,510
1.857814626,-0.681355476,0,0.035374355,-7.29E-05,511
1.860090093,-0.686378956,0,0.033414997,-7.64E-05,512
1.862436608,-0.691556931,0,0.031377833,-7.94E-05,513
1.864849404,-0.69687891,0,0.029266709,-8.22E-05,514
1.867324189,-0.702334404,0,0.027080007,-8.51E-05,515
1.869854764,-0.707912445,0,0.024835812,-8.73E-05,516
1.872436837,-0.713602066,0,0.022530267,-8.96E-05,517
1.875064687,-0.719391823,0,0.020173721,-9.15E-05,518
1.877732591,-0.725269794,0,0.017774251,-9.31E-05,519
1.880435781,-0.731224537,0,0.01533133,-9.47E-05,520
