tick (not used), q1, q2,,,,,
2646,0.632883741,2.208834963,0,0.388091926,2.31E-05,-0.016455058,-0.01041083
2647,0.677635763,2.007839739,0,0.387764122,-5.76E-06,-0.000529353,0.036837131
2648,0.722387802,1.852436303,0,0.385800482,-3.45E-05,0.015392266,0.084044904
2649,0.767139825,1.714349745,0,0.382218761,-6.28E-05,0.031263992,0.131048754
2650,0.811891864,1.58584836,0,0.37704642,-9.07E-05,0.047034331,0.177659303
2651,0.856643887,1.463504497,0,0.370320394,-0.00011793,0.062648706,0.223683387
2652,0.901395926,1.345454982,0,0.362086406,-0.000144316,0.078065887,0.268977016
2653,0.946147966,1.230559399,0,0.352399177,-0.000169723,0.093223937,0.313335776
2654,0.990899988,1.118062055,0,0.341321145,-0.000194021,0.108084716,0.356610864
2655,1.035652028,1.007432301,0,0.328921879,-0.000217083,0.122593373,0.39864856
2656,1.08040405,0.898280405,0,0.315276875,-0.000238808,0.13671048,0.439286649
2657,1.12515609,0.790309276,0,0.300468034,-0.000259084,0.150385901,0.478376389
2658,1.169908112,0.683285197,0,0.284582287,-0.000277823,0.16357854,0.515796304
2659,1.214660152,0.577018784,0,0.267708898,-0.000294987,0.176245317,0.551402748
2660,1.259412174,0.471352484,0,0.249941933,-0.000310499,0.188346714,0.585083246
2661,1.304164214,0.366151594,0,0.231375983,-0.000324343,0.199844345,0.61672771
2662,1.348916254,0.261297867,0,0.212108096,-0.000336481,0.210698739,0.646234691
2663,1.393668276,0.156684577,0,0.19223502,-0.000346927,0.22088103,0.673517644
2664,1.438420316,0.052212642,0,0.171853635,-0.000355676,0.230348021,0.698482692
2665,1.483172338,-0.052212642,0,0.151059898,-0.000362744,0.239069775,0.721056521
2666,1.527924378,-0.156684577,0,0.129948408,-0.00036815,0.247016981,0.74119091
2667,1.5726764,-0.261297867,0,0.108611577,-0.00037195,0.254152626,0.758799672
2668,1.61742844,-0.366151594,0,0.087139309,-0.000374177,0.260461986,0.773866594
2669,1.662180479,-0.471352484,0,0.065618051,-0.000374893,0.265906572,0.786342859
2670,1.706932502,-0.577018784,0,0.044131404,-0.000374153,0.27046743,0.796185255
2671,1.751684541,-0.683285197,0,0.022759557,-0.000372018,0.274119854,0.803383768
2672,1.796436564,-0.790309276,0,0.001579686,-0.000368546,0.276844621,0.807930887
2673,1.841188603,-0.898280405,0,-0.019337269,-0.000363836,0.278632164,0.809816897
2674,1.885940626,-1.007432301,0,-0.039921107,-0.000357908,0.279453516,0.809034586
2675,1.930692665,-1.118062055,0,-0.060108627,-0.000350888,0.279312044,0.8056041
2676,1.975444687,-1.230559399,0,-0.079837609,-0.000342798,0.278186411,0.799547076
2677,2.020196727,-1.345454982,0,-0.099052641,-0.000333751,0.276079178,0.790879965
2678,2.064948767,-1.463504497,0,-0.117699421,-0.00032376,0.272981256,0.779639602
2679,2.109700789,-1.58584836,0,-0.13572987,-0.00031295,0.268904269,0.765878558
2680,2.154452829,-1.714349745,0,-0.153096036,-0.000301313,0.263837039,0.749623537
2681,2.199204851,-1.852436303,0,-0.169757583,-0.000288982,0.257810384,0.730958104
2682,2.243956891,-2.007839739,0,-0.185674713,-0.000275972,0.250822097,0.709931135
2683,2.288708913,-2.208834963,0,-0.20081158,-0.000262348,0.242898703,0.686626792
