,,,,,,,,,,,2645,0.640433625,2.596652269,0,0.386776147,5.19E-05,-0.032313652,-0.057495229
2651,0.643220798,2.583795071,0,0.370320394,-0.00011793,0.062648706,0.223683387,,,,,,,,,,,
2657,0.657002107,2.53869009,0,0.300468034,-0.000259084,0.150385901,0.478376389,,,,,,,,,,,
2663,0.680193977,2.466915369,0,0.19223502,-0.000346927,0.22088103,0.673517644,,,,,,,,,,,
2669,0.710133032,2.377321005,0,0.065618051,-0.000374893,0.265906572,0.786342859,,,,,,,,,,,
2675,0.743309693,2.280682564,0,-0.060108627,-0.000350888,0.279312044,0.8056041,,,,,,,,,,,
2681,0.775665538,2.188352585,0,-0.169757583,-0.000288982,0.257810384,0.730958104,,,,,,,,,,,
2687,0.803028242,2.111008644,0,-0.252940426,-0.000202753,0.20231618,0.572252631,,,,,,,,,,,
2693,0.821701483,2.057445049,0,-0.303397429,-0.000103198,0.119069442,0.34930712,,,,,,,,,,,
2699,0.829112605,2.033442259,0,-0.31822244,6.49E-07,0.019534651,0.09072642,,,,,,,,,,,
2705,0.824320451,2.040929079,0,-0.297421157,0.000100741,-0.08155106,-0.169574827,,,,,,,,,,,
2711,0.8081937,2.077724457,0,-0.243698804,0.000189584,-0.169359118,-0.397947907,,,,,,,,,,,
2717,0.783186273,2.137974501,0,-0.162282673,0.000260244,-0.232210398,-0.566643715,,,,,,,,,,,
2723,0.752809302,2.213133335,0,-0.060821693,0.000305955,-0.263486087,-0.657297134,,,,,,,,,,,
2729,0.720996753,2.293169975,0,0.050602227,0.000319911,-0.261786431,-0.661782146,,,,,,,,,,,
2735,0.691549436,2.367749929,0,0.159578667,0.000296234,-0.229802743,-0.581425667,,,,,,,,,,,
2741,0.667747394,2.427304983,0,0.252214305,0.000232865,-0.172865137,-0.42612052,,,,,,,,,,,
2747,0.652118162,2.464009523,0,0.315303042,0.000135491,-0.097800314,-0.213560164,,,,,,,,,,,
2753,0.646305219,2.472627878,0,0.339548498,1.93E-05,-0.012292542,0.032148086,,,,,,,,,,,
2759,0.651003257,2.451094627,0,0.322427721,-9.45E-05,0.075684428,0.283493757,,,,,,,,,,,
2765,0.665966646,2.400640249,0,0.268992682,-0.000185543,0.158483416,0.513641596,,,,,,,,,,,
2771,0.690089122,2.325419903,0,0.189999561,-0.000241837,0.22930932,0.700408936,,,,,,,,,,,
2777,0.721518711,2.231786013,0,0.098411922,-0.000261684,0.282378525,0.828421831,,,,,,,,,,,
2783,0.757779912,2.127450228,0,0.006122599,-0.000251121,0.312906265,0.889127016,,,,,,,,,,,
2789,0.795907036,2.020727158,0,-0.077777102,-0.000218897,0.317379326,0.879859567,,,,,,,,,,,
2795,0.832637564,1.919892907,0,-0.147152789,-0.000172789,0.294175059,0.803030372,,,,,,,,,,,
2801,0.864699618,1.832580805,0,-0.198178225,-0.000118423,0.244436964,0.666159213,,,,,,,,,,,
2807,0.889190809,1.765130162,0,-0.228687008,-5.99E-05,0.172684535,0.482408345,,,,,,,,,,,
2813,0.903987841,1.721910834,0,-0.237872441,-9.22E-07,0.086737588,0.270416319,,,,,,,,,,,
2819,0.908084468,1.704764605,0,-0.226269548,5.48E-05,-0.003241603,0.052617375,,,,,,,,,,,
2825,0.901745872,1.712765932,0,-0.195775347,0.000103507,-0.086627044,-0.147994429,,,,,,,,,,,
2831,0.88642563,1.74241364,0,-0.149535784,0.000142157,-0.154288471,-0.311527014,,,,,,,,,,,
2837,0.864475207,1.788208127,0,-0.091663479,0.000168516,-0.200055525,-0.423912942,,,,,,,,,,,
2843,0.838746564,1.843436599,0,-0.026881458,0.00018143,-0.221184313,-0.477850258,,,,,,,,,,,
2849,0.812206165,1.900951862,0,0.039801745,0.000180491,-0.217890903,-0.472200155,,,,,,,,,,,
2855,0.787637309,1.953816175,0,0.103366214,0.000166081,-0.192498416,-0.410550624,,,,,,,,,,,
2861,0.767461554,1.995761752,0,0.159069918,0.000139402,-0.148391798,-0.299734533,,,,,,,,,,,
2867,0.753660635,2.021504164,0,0.202852217,0.000102936,-0.089345656,-0.148763999,,,,,,,,,,,
2873,0.747770087,2.026932716,0,0.231849864,6.06E-05,-0.019001666,0.032129664,,,,,,,,,,,
2879,0.750913934,2.009198666,0,0.244857294,1.72E-05,0.059392616,0.232351363,,,,,,,,,,,
2885,0.763859049,1.966695189,0,0.242495632,-2.24E-05,0.143074125,0.441875786,,,,,,,,,,,
2891,0.787078993,1.898925066,0,0.226909213,-5.48E-05,0.229805976,0.652108312,,,,,,,,,,,
